index,Rent,SurfaceArea,RoomsNumber,Address,RentPerArea,RentPerRoom,AreaPerRoom,ZipCode,City
45,3850.0,105.0,4.5,"Schöneggstrasse 15, 8004 Zurich",36.666666666666664,855.5555555555555,23.333333333333332,15,Zurich
46,6110.0,138.0,4.5,"Ankerstrasse 114, 8004 Zurich",44.27536231884058,1357.7777777777778,30.666666666666668,114,Zurich
47,6410.0,200.0,8.0,"Hinterbergstrasse 69, 8044 Zurich",32.05,801.25,25.0,69,Zurich
48,3810.0,136.0,6.5,"Ferdinand-Hodler-Strasse, 8049 Zurich",28.014705882352942,586.1538461538462,20.923076923076923,Ferdinand-Hodler-Strasse,Zurich
49,4230.0,165.0,4.5,"Freigutstrasse 5, 8002 Zurich",25.636363636363637,940.0,36.666666666666664,5,Zurich
50,3750.0,140.0,6.0,"Nordstrasse 198, 8037 Zurich",26.785714285714285,625.0,23.333333333333332,198,Zurich
51,6260.0,160.0,6.5,"Rüdigerstrasse 5, 8045 Zurich",39.125,963.0769230769231,24.615384615384617,5,Zurich
52,6700.0,175.0,6.5,8038 Zurich,38.285714285714285,1030.7692307692307,26.923076923076923,,Zurich
53,5120.0,160.0,7.5,"Buchzelgstrasse 58, 8053 Zurich",32.0,682.6666666666666,21.333333333333332,58,Zurich
54,5590.0,140.0,6.5,"Badenerstrasse 855, 8048 Zurich",39.92857142857143,860.0,21.53846153846154,855,Zurich
55,5640.0,160.0,6.5,"Leutschenbachstrasse 30, 8050 Zurich",35.25,867.6923076923077,24.615384615384617,30,Zurich
56,5660.0,175.0,7.5,"Hegibachstrasse 36, 8032 Zurich",32.34285714285714,754.6666666666666,23.333333333333332,36,Zurich
57,6410.0,150.0,6.5,"Turbinenstrasse 40, 8005 Zurich",42.733333333333334,986.1538461538462,23.076923076923077,40,Zurich
58,9550.0,220.0,7.5,"Berghaldenstrasse 28, 8053 Zurich",43.40909090909091,1273.3333333333333,29.333333333333332,28,Zurich
60,5140.0,140.0,5.0,"Konradstrasse 71, 8005 Zurich",36.714285714285715,1028.0,28.0,71,Zurich
61,5880.0,140.0,6.0,"Kreuzstrasse 80, 8032 Zurich",42.0,980.0,23.333333333333332,80,Zurich
62,8120.0,220.0,8.0,"Tödistrasse 46, 8002 Zurich",36.90909090909091,1015.0,27.5,46,Zurich
63,5880.0,156.0,6.5,"Sprecherstrasse 5, 8032 Zurich",37.69230769230769,904.6153846153846,24.0,5,Zurich
64,3600.0,130.0,6.5,"Regensbergstrasse 177, 8050 Zurich",27.692307692307693,553.8461538461538,20.0,177,Zurich
65,3080.0,144.0,5.0,"Altstetterstrasse, 8048 Zurich",21.38888888888889,616.0,28.8,Altstetterstrasse,Zurich
66,7920.0,170.0,7.5,"Freiestrasse 206, 8032 Zurich",46.588235294117645,1056.0,22.666666666666668,206,Zurich
67,3330.0,129.0,6.5,"Manessestrasse 130, 8045 Zurich",25.813953488372093,512.3076923076923,19.846153846153847,130,Zurich
68,6180.0,191.0,6.5,"Zurlindenstrasse 275, 8003 Zurich",32.35602094240838,950.7692307692307,29.384615384615383,275,Zurich
69,3720.0,136.0,6.5,"Ringstrasse 70, 8057 Zurich",27.352941176470587,572.3076923076923,20.923076923076923,70,Zurich
70,5880.0,158.0,6.5,"Altenhofstrasse 46, 8008 Zurich",37.21518987341772,904.6153846153846,24.307692307692307,46,Zurich
71,7520.0,150.0,7.5,"Altenhofstrasse 46, 8008 Zurich",50.13333333333333,1002.6666666666666,20.0,46,Zurich
72,4620.0,138.0,4.5,"Hirslanderstrasse 33, 8032 Zurich",33.47826086956522,1026.6666666666667,30.666666666666668,33,Zurich
74,7750.0,210.0,8.0,"Etzelstrasse 31, 8038 Zurich",36.904761904761905,968.75,26.25,31,Zurich
76,11770.0,180.0,6.5,"Storchengasse 12, 8001 Zurich",65.38888888888889,1810.7692307692307,27.692307692307693,12,Zurich
77,3740.0,125.0,4.5,"Glatttalstrasse 37, 8052 Zurich",29.92,831.1111111111111,27.77777777777778,37,Zurich
78,4990.0,130.0,4.5,"Limmattalstrasse 24A + 24B, 8049 Zurich",38.38461538461539,1108.888888888889,28.88888888888889,24B,Zurich
79,5400.0,160.0,4.5,"Moussonstrasse 18, 8044 Zurich",33.75,1200.0,35.55555555555556,18,Zurich
80,6780.0,170.0,8.0,"Bürglistrasse 23, 8002 Zurich",39.88235294117647,847.5,21.25,23,Zurich
81,6680.0,140.0,6.0,"Ottikerstrasse, 8006 Zurich",47.714285714285715,1113.3333333333333,23.333333333333332,Ottikerstrasse,Zurich
82,5510.0,156.0,6.5,"Hofstrasse 133, 8044 Zurich",35.32051282051282,847.6923076923077,24.0,133,Zurich
83,5740.0,140.0,7.5,"Schaffhauserstrasse 449, 8052 Zurich",41.0,765.3333333333334,18.666666666666668,449,Zurich
84,6630.0,150.0,6.5,"Mythenquai 349a, 8038 Zurich",44.2,1020.0,23.076923076923077,349a,Zurich
85,6820.0,160.0,4.5,"Mythenquai 353, 8038 Zurich",42.625,1515.5555555555557,35.55555555555556,353,Zurich
86,5060.0,160.0,7.5,8046 Zurich,31.625,674.6666666666666,21.333333333333332,,Zurich
87,6180.0,150.0,6.5,"Zollikerstrasse 149, 8008 Zurich",41.2,950.7692307692307,23.076923076923077,149,Zurich
88,5510.0,187.0,6.5,"Badenerstrasse 855, 8048 Zurich",29.46524064171123,847.6923076923077,28.76923076923077,855,Zurich
89,11180.0,220.0,7.5,"Brandschenkestrasse, 8002 Zurich",50.81818181818182,1490.6666666666667,29.333333333333332,Brandschenkestrasse,Zurich
90,12270.0,230.0,7.5,"In der Sommerau 9, 8053 Zurich",53.34782608695652,1636.0,30.666666666666668,9,Zurich
91,7000.0,170.0,6.0,"Höhenweg 19, 8032 Zurich",41.1764705882353,1166.6666666666667,28.333333333333332,19,Zurich
92,5340.0,180.0,6.5,"Sempacherstrasse 23, 8032 Zurich",29.666666666666668,821.5384615384615,27.692307692307693,23,Zurich
93,3880.0,98.0,3.0,"Wipkingerweg 12, 8037 Zurich",39.59183673469388,1293.3333333333333,32.666666666666664,12,Zurich
94,5140.0,132.0,5.0,"Badenerstrasse 310, 8004 Zurich",38.93939393939394,1028.0,26.4,310,Zurich
96,3130.0,136.0,3.0,"Rosengartenstrasse 55, 8037 Zurich",23.014705882352942,1043.3333333333333,45.333333333333336,55,Zurich
97,4210.0,144.0,4.5,"Zentralstrasse 153, 8003 Zurich",29.23611111111111,935.5555555555555,32.0,153,Zurich
98,2560.0,80.0,3.5,"Hungerbergstr. 27, 8046 Zurich",32.0,731.4285714285714,22.857142857142858,27,Zurich
99,4170.0,140.0,6.5,"Ruedi Walter-Str. 4a, 8050 Zurich",29.785714285714285,641.5384615384615,21.53846153846154,4a,Zurich
100,3410.0,150.0,8.0,"Buchzelgstr. 39, 8053 Zurich",22.733333333333334,426.25,18.75,39,Zurich
101,4080.0,127.0,3.0,"Kronenstr. 25, 8006 Zurich",32.125984251968504,1360.0,42.333333333333336,25,Zurich
102,8270.0,160.0,6.5,8008 Zurich,51.6875,1272.3076923076924,24.615384615384617,,Zurich
103,6280.0,154.0,4.5,"Mühlebachstr. 27, 8008 Zurich",40.77922077922078,1395.5555555555557,34.22222222222222,27,Zurich
104,4050.0,191.0,6.0,"Buchholzstrasse 133, 8053 Zurich",21.20418848167539,675.0,31.833333333333332,133,Zurich
105,7050.0,150.0,6.5,"Badenerstr. 157, 8004 Zurich",47.0,1084.6153846153845,23.076923076923077,157,Zurich
107,13380.0,290.0,10.5,"Hadlaubstrasse 111, 8006 Zurich",46.13793103448276,1274.2857142857142,27.61904761904762,111,Zurich
108,13410.0,240.0,6.5,"Utoquai 37, 8008 Zurich",55.875,2063.076923076923,36.92307692307692,37,Zurich
109,3070.0,105.0,3.0,"Austrasse 60, 8045 Zurich",29.238095238095237,1023.3333333333334,35.0,60,Zurich
110,4130.0,123.0,4.5,"Röntgenstrasse 72, 8005 Zurich",33.577235772357724,917.7777777777778,27.333333333333332,72,Zurich
111,8280.0,160.0,6.5,"Waldmannstrasse 12A, 8001 Zurich",51.75,1273.8461538461538,24.615384615384617,12A,Zurich
112,6350.0,170.0,7.5,"Seefeldstrasse 253, 8008 Zurich",37.35294117647059,846.6666666666666,22.666666666666668,253,Zurich
113,4970.0,121.0,3.0,"Steinstrasse 25, 8003 Zurich Wiedikon",41.074380165289256,1656.6666666666667,40.333333333333336,25,Zurich
114,4540.0,136.0,5.0,"Schwamendingenstrasse 93, 8050 Zurich",33.38235294117647,908.0,27.2,93,Zurich
115,20550.0,310.0,6.0,"Utoquai 37, 8008 Zurich",66.29032258064517,3425.0,51.666666666666664,37,Zurich
116,2830.0,45.0,3.5,"Bernerstrasse S 169, 8048 Zurich",62.888888888888886,808.5714285714286,12.857142857142858,169,Zurich
117,11450.0,310.0,11.0,"Bluntschlisteig 1, 8002 Zurich",36.935483870967744,1040.909090909091,28.181818181818183,1,Zurich
118,3400.0,148.0,5.0,"Roswiesenstrasse 183, 8051 Zurich",22.972972972972972,680.0,29.6,183,Zurich
119,2850.0,47.0,2.0,"Steinstrasse 27, 8003 Zurich",60.638297872340424,1425.0,23.5,27,Zurich
120,7560.0,189.0,6.5,"Wuhrstrasse 30, 8003 Zurich",40.0,1163.076923076923,29.076923076923077,30,Zurich
121,2170.0,45.0,3.5,"Viktoriastrasse 29, 8057 Zurich",48.22222222222222,620.0,12.857142857142858,29,Zurich
122,6490.0,170.0,7.5,"Bucheggstrasse 130, 8057 Zurich",38.1764705882353,865.3333333333334,22.666666666666668,130,Zurich
123,2720.0,70.0,3.5,"Bucheggstrasse 130, 8057 Zurich",38.857142857142854,777.1428571428571,20.0,130,Zurich
124,3200.0,86.0,3.5,"Schulhausstrasse 47, 8002 Zurich",37.2093023255814,914.2857142857143,24.571428571428573,47,Zurich
125,4200.0,127.0,4.5,"Dörflistrasse 115, 8050 Zurich",33.07086614173228,933.3333333333334,28.22222222222222,115,Zurich
