price,size,rooms,address
" CHF 5,120.– / month",137m² living space ,5 rooms ,"Konradstrasse 71, 8005 Zürich"
" CHF 5,860.– / month",140m² living space ,6 rooms ,"Kreuzstrasse 80, 8032 Zürich"
" CHF 8,090.– / month",220m² living space ,8 rooms ,"Tödistrasse 46, 8002 Zürich"
" CHF 5,860.– / month",153m² living space ,5.5 rooms ,"Sprecherstrasse 5, 8032 Zürich"
" CHF 3,580.– / month",128m² living space ,5.5 rooms ,"Regensbergstrasse 177, 8050 Zürich"
" CHF 3,060.– / month",141m² living space ,5 rooms ,"Altstetterstrasse, 8048 Zürich"
" CHF 7,890.– / month",170m² living space ,7.5 rooms ,"Freiestrasse 206, 8032 Zürich"
" CHF 6,160.– / month",187m² living space ,5.5 rooms ,"Zurlindenstrasse 275, 8003 Zurich"
" CHF 3,710.– / month",134m² living space ,5.5 rooms ,"Ringstrasse 70, 8057 Zürich"
" CHF 5,860.– / month",154m² living space ,5.5 rooms ,"Altenhofstrasse 46, 8008 Zürich"
" CHF 7,490.– / month",140m² living space ,7.5 rooms ,"Altenhofstrasse 46, 8008 Zürich"
" CHF 4,600.– / month",135m² living space ,4.5 rooms ,"Hirslanderstrasse 33, 8032 Zürich"
" CHF 7,720.– / month",210m² living space ,8 rooms ,"Etzelstrasse 31, 8038 Zürich"
" CHF 2,840.– / month",,3.5 rooms ,"Girhaldenstrasse 20, 8048 Zürich"
" CHF 11,730.– / month",180m² living space ,5.5 rooms ,"Storchengasse 12, 8001 Zürich"
" CHF 3,720.– / month",122m² living space ,4.5 rooms ,"Glatttalstrasse 37, 8052 Zürich"
" CHF 4,970.– / month",128m² living space ,4.5 rooms ,"Limmattalstrasse 24A + 24B, 8049 Zürich"
" CHF 5,380.– / month",160m² living space ,4.5 rooms ,"Moussonstrasse 18, 8044 Zürich"
" CHF 6,650.– / month",140m² living space ,6 rooms ,"Ottikerstrasse, 8006 Zürich"
" CHF 5,490.– / month",153m² living space ,5.5 rooms ,"Hofstrasse 133, 8044 Zürich"
" CHF 5,710.– / month",140m² living space ,7.5 rooms ,"Schaffhauserstrasse 449, 8052 Zürich"
" CHF 6,600.– / month",140m² living space ,5.5 rooms ,"Mythenquai 349a, 8038 Zürich"
" CHF 6,790.– / month",160m² living space ,4.5 rooms ,"Mythenquai 353, 8038 Zürich"
" CHF 5,040.– / month",160m² living space ,7.5 rooms ,8046 Zürich
" CHF 6,160.– / month",140m² living space ,5.5 rooms ,"Zollikerstrasse 149, 8008 Zürich"
" CHF 5,490.– / month",183m² living space ,5.5 rooms ,"Badenerstrasse 855, 8048 Zürich"
" CHF 11,130.– / month",220m² living space ,7.5 rooms ,"Brandschenkestrasse, 8002 Zürich"
" CHF 12,220.– / month",230m² living space ,7.5 rooms ,"In der Sommerau 9, 8053 Zürich"
" CHF 6,970.– / month",170m² living space ,6 rooms ,"Höhenweg 19, 8032 Zürich"
" CHF 5,320.– / month",180m² living space ,5.5 rooms ,"Sempacherstrasse 23, 8032 Zürich"
" CHF 3,870.– / month",96m² living space ,3 rooms ,"Wipkingerweg 12, 8037 Zürich"
" CHF 5,120.– / month",130m² living space ,5 rooms ,"Badenerstrasse 310, 8004 Zürich"
" CHF 7,840.– / month",,7.5 rooms ,"Fritz-Fleiner-Weg 7, 8044 Zürich"
" CHF 3,110.– / month",134m² living space ,3 rooms ,"Rosengartenstrasse 55, 8037 Zürich"
" CHF 4,190.– / month",141m² living space ,4.5 rooms ,"Zentralstrasse 153, 8003 Zürich"
" CHF 2,540.– / month",78m² living space ,3.5 rooms ,"Hungerbergstr. 27, 8046 Zürich"
" CHF 4,150.– / month",140m² living space ,5.5 rooms ,"Ruedi Walter-Str. 4a, 8050 Zürich"
" CHF 3,400.– / month",150m² living space ,8 rooms ,"Buchzelgstr. 39, 8053 Zürich"
" CHF 4,070.– / month",124m² living space ,3 rooms ,"Kronenstr. 25, 8006 Zürich"
" CHF 8,240.– / month",160m² living space ,5.5 rooms ,8008 Zürich
" CHF 6,260.– / month",151m² living space ,4.5 rooms ,"Mühlebachstr. 27, 8008 Zürich"
" CHF 4,030.– / month",187m² living space ,6 rooms ,"Buchholzstrasse 133, 8053 Zürich"
" CHF 7,030.– / month",150m² living space ,5.5 rooms ,"Badenerstr. 157, 8004 Zürich"
" CHF 1,940.– / month",22m² living space ,2 rooms ,"Schwamendingenstrasse 93, 8050 Zürich"
" CHF 13,320.– / month",290m² living space ,10.5 rooms ,"Hadlaubstrasse 111, 8006 Zürich"
" CHF 13,360.– / month",240m² living space ,5.5 rooms ,"Utoquai 37, 8008 Zürich"
" CHF 3,050.– / month",103m² living space ,3 rooms ,"Austrasse 60, 8045 Zürich"
" CHF 4,120.– / month",120m² living space ,4.5 rooms ,"Röntgenstrasse 72, 8005 Zürich"
" CHF 8,250.– / month",160m² living space ,5.5 rooms ,"Waldmannstrasse 12A, 8001 Zürich"
" CHF 6,320.– / month",170m² living space ,7.5 rooms ,"Seefeldstrasse 253, 8008 Zürich"
" CHF 4,950.– / month",118m² living space ,3 rooms ,"Steinstrasse 25, 8003 Zürich Wiedikon"
" CHF 4,520.– / month",134m² living space ,5 rooms ,"Schwamendingenstrasse 93, 8050 Zürich"
" CHF 20,470.– / month",310m² living space ,6 rooms ,"Utoquai 37, 8008 Zürich"
" CHF 2,820.– / month",44m² living space ,3.5 rooms ,"Bernerstrasse S 169, 8048 Zürich"
" CHF 11,410.– / month",300m² living space ,10 rooms ,"Bluntschlisteig 1, 8002 Zürich"
" CHF 3,390.– / month",145m² living space ,5 rooms ,"Roswiesenstrasse 183, 8051 Zürich"
" CHF 2,840.– / month",46m² living space ,2 rooms ,"Steinstrasse 27, 8003 Zürich"
" CHF 7,530.– / month",185m² living space ,5.5 rooms ,"Wuhrstrasse 30, 8003 Zürich"
" CHF 2,160.– / month",44m² living space ,3.5 rooms ,"Viktoriastrasse 29, 8057 Zürich"
" CHF 6,470.– / month",170m² living space ,7.5 rooms ,"Bucheggstrasse 130, 8057 Zürich"
" CHF 2,710.– / month",69m² living space ,3.5 rooms ,"Bucheggstrasse 130, 8057 Zürich"
" CHF 3,190.– / month",84m² living space ,3.5 rooms ,"Schulhausstrasse 47, 8002 Zürich"
" CHF 4,180.– / month",124m² living space ,4.5 rooms ,"Dörflistrasse 115, 8050 Zürich"
" CHF 4,490.– / month",134m² living space ,3 rooms ,"Baslerstrasse 77, 8048 Zürich"
" CHF 7,190.– / month",180m² living space ,4.5 rooms ,"Pfingstweidstrasse 98, 8005 Zürich"
" CHF 2,790.– / month",48m² living space ,3.5 rooms ,"Müllerstrasse 76, 8004 Zürich"
" CHF 3,670.– / month",164m² living space ,4.5 rooms ,"Hüttisstr. 8, 8050 Zürich"
" CHF 4,650.– / month",113m² living space ,4.5 rooms ,"Steinstrasse 25, 8003 Zürich"
