price,size,rooms,address
" CHF 2,670.– / month",48m² living space ,3.5 rooms ,"Untermoosstrasse 1, 8047 Zürich"
" CHF 3,340.– / month",75m² living space ,4.5 rooms ,"Rautistrasse 10A, 8047 Zürich"
" CHF 3,870.– / month",103m² living space ,4.5 rooms ,"Austrasse 46, 8045 Zürich"
" CHF 3,870.– / month",185m² living space ,5.5 rooms ,"Armin-Bollinger-Weg 3, 8050 Zürich"
" CHF 4,600.– / month",,5.5 rooms ,"Sternenstrasse 24, 8002 Zürich"
" CHF 7,570.– / month",,5.5 rooms ,"Zentralstrasse 76B, 8003 Zürich"
" CHF 4,600.– / month",140m² living space ,5.5 rooms ,"Zeltweg 9, 8032 Zürich"
" CHF 4,900.– / month",151m² living space ,4.5 rooms ,"Witikonerstrasse 26, 8032 Zürich"
" CHF 4,900.– / month",88m² living space ,4.5 rooms ,"Badenerstrasse 250, 8004 Zürich"
" CHF 4,600.– / month",111m² living space ,4.5 rooms ,"Badenerstrasse 250, 8004 Zürich"
" CHF 2,820.– / month",149m² living space ,7.5 rooms ,"Balberstrasse 74, 8038 Zürich"
" CHF 4,720.– / month",170m² living space ,3 rooms ,"Max Bill Platz 5, 8050 Zürich"
" CHF 5,190.– / month",160m² living space ,5.5 rooms ,"Hammerstrasse 59, 8032 Zürich"
" CHF 2,610.– / month",101m² living space ,3 rooms ,"Ohmstrasse 16, 8050 Zürich"
" CHF 10,320.– / month",240m² living space ,8 rooms ,"Stapferstrasse 31, 8006 Zürich"
" CHF 4,230.– / month",160m² living space ,4.5 rooms ,"Manessestrasse 6, 8003 Zürich"
" CHF 5,490.– / month",185m² living space ,5.5 rooms ,"Stampfenbachplatz 4, 8006 Zürich"
" CHF 3,520.– / month",154m² living space ,5.5 rooms ,"Greifenseestr. 53, 8050 Zürich"
" CHF 3,410.– / month",120m² living space ,5 rooms ,"Jungholzstrasse 20, 8050 Zürich"
" CHF 7,940.– / month",180m² living space ,7.5 rooms ,"Augustinergasse 38, 8001 Zürich"
" CHF 5,910.– / month",177m² living space ,6 rooms ,"Apollostrasse 21, 8032 Zürich"
" CHF 3,040.– / month",137m² living space ,6 rooms ,"Hirzenbachstrasse 60, 8051 Zürich"
" CHF 5,340.– / month",179m² living space ,5.5 rooms ,"Zurlindenstrasse 111, 8003 Zürich"
" CHF 3,370.– / month",88m² living space ,3 rooms ,"Grubenackerstrasse 71, 8052 Zürich"
" CHF 2,630.– / month",54m² living space ,2 rooms ,"Grubenackerstrasse 71, 8052 Zürich"
" CHF 3,090.– / month",40m² living space ,3 rooms ,"Hildastrasse 1, 8004 Zürich"
" CHF 5,800.– / month",140m² living space ,5.5 rooms ,"Karl-Stauffer-Strasse 1, 8008 Zürich"
" CHF 4,130.– / month",170m² living space ,7.5 rooms ,"Wiesliacher 97, 8053 Zürich"
" CHF 3,240.– / month",130m² living space ,5 rooms ,"Baslerstrasse 119, 8048 Zürich"
" CHF 4,060.– / month",149m² living space ,4.5 rooms ,"Rötelstr. 6, 8006 Zürich"
" CHF 22,270.– / month",340m² living space ,6 rooms ,"Zurich, 8001 ZÃ¼rich"
" CHF 3,240.– / month",113m² living space ,3.5 rooms ,"Altstetterstrasse 178, 8048 Zürich"
" CHF 9,420.– / month",160m² living space ,8 rooms ,"Clausiusstrasse 60, 8006 Zürich"
" CHF 5,860.– / month",170m² living space ,7.5 rooms ,"Wehntalerstrasse 571, 8046 Zürich"
" CHF 3,820.– / month",,44m² living space ,"Albertstrasse 7, 8005 Zürich"
" CHF 3,630.– / month",147m² living space ,5 rooms ,"Stodolastrasse 7, 8053 Zürich"
 Price on request ,290m² living space ,7.5 rooms ,"Lintheschergasse 23, 8001 Zürich"
" CHF 3,520.– / month",,40m² living space ,"Rotachstrasse 33, 8003 Zurich"
" CHF 5,830.– / month",78m² living space ,3 rooms ,"Wolframplatz 1, 8045 Zurich"
" CHF 2,740.– / month",115m² living space ,4.5 rooms ,"Karstlernstrasse 14, 8048 Zürich"
" CHF 3,200.– / month",154m² living space ,5.5 rooms ,"Dennlerstr. 24, 8047 Zürich"
" CHF 3,930.– / month",156m² living space ,5 rooms ,"Kirchenackerweg 13, 8050 Zürich"
" CHF 3,730.– / month",128m² living space ,4.5 rooms ,"Wiesliacher 23, 8053 Zürich"
" CHF 5,950.– / month",170m² living space ,8.5 rooms ,"Wiesliacher 21, 8053 Zürich"
" CHF 4,460.– / month",166m² living space ,5.5 rooms ,"Wiesliacher 23, 8053 Zürich"
" CHF 1,180.– / month",115m² living space ,5 rooms ,"Kiefernweg 34, 8057 Zürich"
" CHF 4,020.– / month",101m² living space ,4.5 rooms ,"Kasinostrasse 10, 8032 Zürich"
" CHF 6,280.– / month",175m² living space ,5.5 rooms ,"Kasinostrasse 10, 8032 Zürich"
" CHF 10,240.– / month",180m² living space ,9 rooms ,"Heliosstrasse 12, 8032 Zürich"
" CHF 2,900.– / month",71m² living space ,3.5 rooms ,"Wiedingstrasse 87a, 8055 Zürich"
" CHF 8,630.– / month",170m² living space ,5.5 rooms ,"Kasinostrasse 8, 8032 Zürich"
" CHF 3,520.– / month",109m² living space ,4.5 rooms ,"Im Isengrind, 8046 Zürich"
" CHF 2,070.– / month",67m² living space ,2 rooms ,"Anemonenstrasse 7, 8047 Zürich"
" CHF 4,950.– / month",137m² living space ,5.5 rooms ,"Seestrasse 434, 8038 Zürich"
" CHF 3,360.– / month",42m² living space ,3.5 rooms ,"Gertrudstrasse 48, 8003 Zürich"
" CHF 4,580.– / month",,6 rooms ,"Nordstrasse 6, 8006 Zürich"
" CHF 3,670.– / month",124m² living space ,5 rooms ,"Nordstrasse 6, 8006 Zürich"
" CHF 1,310.– / month",18m² living space ,2 rooms ,"Freihofstrasse 1, 8048 Zürich"
" CHF 3,210.– / month",120m² living space ,4.5 rooms ,"Badenerstrasse 696, 8048 Zürich"
" CHF 3,700.– / month",134m² living space ,3 rooms ,"Salomon-Vögelin-Strasse 33, 8038 Zürich"
" CHF 2,370.– / month",69m² living space ,2 rooms ,"Rautistrasse 159, 8048 Zürich"
" CHF 3,970.– / month",113m² living space ,4.5 rooms ,"Freiestrasse 131, 8032 Zürich"
" CHF 1,410.– / month",92m² living space ,3 rooms ,"Badenerstr. 725, 8048 Zürich"
" CHF 6,600.– / month",,7.5 rooms ,"Badenerstrasse 853, 8048 Zürich"
" CHF 3,990.– / month",145m² living space ,4.5 rooms ,"Dangelweg 3, 8038 Zürich"
" CHF 3,300.– / month",115m² living space ,5.5 rooms ,"Kügeliloostrasse 26, 8050 Zürich"
" CHF 3,780.– / month",134m² living space ,4.5 rooms ,"Wunderlistrasse 29, 8037 Zürich"
" CHF 5,130.– / month",145m² living space ,5.5 rooms ,"Austrasse 50, 8045 Zürich"
" CHF 3,080.– / month",111m² living space ,4.5 rooms ,"Grosswiesenstrasse 147, 8051 Zürich"
" CHF 3,260.– / month",124m² living space ,5 rooms ,"Altstetterstrasse 280, 8047 Zürich"
" CHF 3,190.– / month",52m² living space ,2 rooms ,"Steinstrasse 35 (S4), 8003 Zürich"
" CHF 2,300.– / month",71m² living space ,2 rooms ,"Knüslistrasse 6, 8004 Zürich"
" CHF 4,280.– / month",124m² living space ,5 rooms ,"Höschgasse 44, 8008 Zürich"
" CHF 4,060.– / month",116m² living space ,2 rooms ,"Schmelzbergstrasse 60, 8044 Zürich"
" CHF 2,930.– / month",77m² living space ,3.5 rooms ,"Asylstr. 11, 8032 Zürich"
" CHF 6,380.– / month",172m² living space ,5.5 rooms ,"Asylstr. 11, 8032 Zürich"
" CHF 6,380.– / month",172m² living space ,5.5 rooms ,"Asylstr. 11, 8032 Zürich"
" CHF 2,790.– / month",,4.5 rooms ,"Winterthurerstrasse 457, 8051 Zürich"
" CHF 3,710.– / month",48m² living space ,3 rooms ,"Badenerstrasse 250, 8052 Zürich"
" CHF 5,130.– / month",,4.5 rooms ,"Waldschulweg 15, 8032 Zürich"
" CHF 6,200.– / month",187m² living space ,5 rooms ,"Leuengasse 4, 8001 Zürich"
" CHF 6,030.– / month",160m² living space ,7.5 rooms ,"Buckhauserstr. 33, 8048 Zurich"
" CHF 8,160.– / month",340m² living space ,11.5 rooms ,"Kurfirstenstrasse 73, 8002 Zürich"
" CHF 8,580.– / month",220m² living space ,8.5 rooms ,"Haldenbachstrasse 30, 8006 Zürich"
" CHF 8,660.– / month",220m² living space ,8.5 rooms ,"Haldenbachstrasse 30, 8006 Zürich"
" CHF 6,540.– / month",140m² living space ,7.5 rooms ,"Restelbergstrasse 64, 8044 Zürich"
" CHF 4,750.– / month",177m² living space ,5 rooms ,"Pflugstr. 20, 8006 Zürich"
" CHF 5,710.– / month",160m² living space ,4.5 rooms ,"Brunaustr. 72, 8002 Zürich"
" CHF 3,440.– / month",160m² living space ,5.5 rooms ,"Auhofstrasse 5, 8051 Zürich"
" CHF 3,680.– / month",92m² living space ,3 rooms ,"Klosbachstr. 50, 8032 Zürich"
" CHF 4,250.– / month",156m² living space ,4.5 rooms ,"Uetlibergstrasse 197, 8045 Zürich"
" CHF 2,590.– / month",,3.5 rooms ,"Rindermarkt 6, 8001 Zürich"
" CHF 3,930.– / month",145m² living space ,5 rooms ,"Waffenplatzstrasse 80, 8002 Zürich"
" CHF 6,160.– / month",190m² living space ,7.5 rooms ,"Buckhauserstr. 23, 8048 Zürich"
" CHF 5,440.– / month",154m² living space ,5.5 rooms ,"Kleinertstrasse 2, 8037 Zürich"
" CHF 4,860.– / month",103m² living space ,4.5 rooms ,"Limmatstrasse 27, 8005 Zürich"
" CHF 5,230.– / month",181m² living space ,4.5 rooms ,"Tobelhofstrasse 242, 8044 Zürich"
" CHF 5,560.– / month",160m² living space ,5.5 rooms ,"Tobelhofstrasse 242, 8044 Zürich"
" CHF 5,290.– / month",158m² living space ,5.5 rooms ,"Tobelhofstrasse 240, 8044 Zürich"
" CHF 5,060.– / month",,50m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 4,130.– / month",,54m² living space ,"Albertstrasse 7, 8005 Zürich"
" CHF 6,280.– / month",,92m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 6,130.– / month",,58m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 6,130.– / month",,58m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 4,600.– / month",,59m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 7,680.– / month",,134m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 3,520.– / month",,46m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 4,600.– / month",,59m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 3,670.– / month",,26m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 6,280.– / month",,80m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 5,980.– / month",,73m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 6,270.– / month",,134m² living space ,"Freyastrasse 8, 8004 Zurich"
" CHF 6,230.– / month",160m² living space ,5.5 rooms ,"Staffelstrasse 3, 8045 Zürich"
" CHF 7,420.– / month",220m² living space ,8.5 rooms ,"Spiserstrasse 15, 8047 Zürich"
" CHF 3,760.– / month",120m² living space ,5 rooms ,"Rotwandstrasse 10, 8004 Zürich"
" CHF 3,750.– / month",115m² living space ,3 rooms ,"Baumgasse 10, 8005 Zürich"
" CHF 1,820.– / month",26m² living space ,2 rooms ,"Badenerstrasse, 8003 Zürich"
" CHF 4,080.– / month",168m² living space ,5.5 rooms ,"Michael-Maggi-Strasse 22, 8046 Zürich"
" CHF 2,770.– / month",134m² living space ,5 rooms ,"Frohburgstrasse 66, 8006 Zurich"
" CHF 5,940.– / month",145m² living space ,5 rooms ,"Klosbachstrasse 88, 8032 Zürich"
" CHF 6,880.– / month",140m² living space ,6 rooms ,"Weinbergstrasse 114, 8006 Zürich"
" CHF 4,670.– / month",140m² living space ,5.5 rooms ,"Buckhauserstr. 37, 8048 Zurich"
" CHF 8,310.– / month",160m² living space ,5.5 rooms ,"Billoweg 3, 8038 Zürich"
" CHF 6,530.– / month",190m² living space ,8.5 rooms ,"Meientalstrasse 79, 8048 Zürich"
" CHF 6,470.– / month",170m² living space ,7.5 rooms ,"Hardstrasse 5, 8004 Zürich"
" CHF 2,930.– / month",80m² living space ,4.5 rooms ,"Hardstrasse 5, 8004 Zürich"
" CHF 2,300.– / month",52m² living space ,3.5 rooms ,"Hardstrasse 5, 8004 Zürich"
" CHF 3,190.– / month",52m² living space ,2 rooms ,"Steinstrasse 35 (S3), 8003 Zürich"
" CHF 8,270.– / month",,7.5 rooms ,"Glockengasse 8, 8001 Zürich"
" CHF 6,510.– / month",160m² living space ,7.5 rooms ,"Aemtlerstrasse, 74, 8003 Zurich"
" CHF 6,310.– / month",170m² living space ,7.5 rooms ,"Leutschenbachstrasse 30 - B702, 8050 Zürich"
" CHF 5,390.– / month",166m² living space ,5.5 rooms ,"Leutschenbachstrasse 30 - B1301, 8050 Zürich"
" CHF 2,930.– / month",77m² living space ,3.5 rooms ,"Asylstr. 11, 8032 Zürich"
" CHF 3,930.– / month",137m² living space ,4.5 rooms ,"Buckhauserstr. 19, 8048 Zurich"
" CHF 4,600.– / month",80m² living space ,4.5 rooms ,"Am Wasser, 8049 Zürich"
" CHF 8,680.– / month",150m² living space ,4.5 rooms ,"Turbinenstrasse 18, 8005 Zürich"
" CHF 5,280.– / month",160m² living space ,5.5 rooms ,"Seestrasse 412, 8038 Zürich"
" CHF 5,230.– / month",168m² living space ,5.5 rooms ,"Leutschenbachstrasse 30 - B1306, 8050 Zürich"
" CHF 8,040.– / month",,7.5 rooms ,"Zürichbergstrasse 191, 8044 Zürich"
" CHF 3,860.– / month",105m² living space ,3 rooms ,"Bergstrasse 109, 8032 Zürich"
" CHF 6,680.– / month",,5.5 rooms ,"Bodmerstrasse 2, 8002 Zürich"
" CHF 3,110.– / month",,5.5 rooms ,"Badenerstrasse 332, 8004 Zürich"
" CHF 4,230.– / month",80m² living space ,3 rooms ,"Kirchgasse 33, 8001 Zürich"
" CHF 5,190.– / month",180m² living space ,6 rooms ,"Hügelstrasse, 8002 Zürich"
" CHF 6,200.– / month",210m² living space ,7.5 rooms ,"363 Schaffhauserstrasse, 8050 Zürich"
" CHF 2,620.– / month",46m² living space ,2 rooms ,"Zielweg 80, 8055 Zürich"
" CHF 5,290.– / month",158m² living space ,5.5 rooms ,"Tobelhofstrasse 242, 8044 Zürich"
" CHF 4,440.– / month",,40m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 4,750.– / month",,50m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 7,200.– / month",103m² living space ,3 rooms ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 11,130.– / month",240m² living space ,5.5 rooms ,"Leutschenbachstrasse 30 - B1803, 8050 Zürich"
" CHF 3,980.– / month",,28m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 6,290.– / month",,73m² living space ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 3,210.– / month",,23m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 7,820.– / month",,120m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 4,900.– / month",,48m² living space ,"Rotachstrasse 33, 8003 Zurich"
" CHF 6,130.– / month",,84m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 6,430.– / month",94m² living space ,3 rooms ,"Rotachstrasse 33, 8003 Zurich"
" CHF 4,750.– / month",,65m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 6,130.– / month",,77m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 2,900.– / month",,20m² living space ,"Rotachstrasse 33, 8003 Zurich"
" CHF 5,210.– / month",61m² living space ,3 rooms ,"Wolframplatz 1, 8045 Zurich"
" CHF 3,820.– / month",,28m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 4,600.– / month",,44m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 3,520.– / month",,46m² living space ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 6,590.– / month",,153m² living space ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 6,590.– / month",,77m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 1,930.– / month",,2 rooms ,"Rümlangstrasse 101, 8052 Zürich"
" CHF 1,420.– / month",19m² living space ,2 rooms ,"Im Hagenbrünneli, 8046 Zürich"
" CHF 1,510.– / month",19m² living space ,2 rooms ,"Luegislandstrasse 485, 8051 Zürich"
" CHF 9,820.– / month",220m² living space ,7.5 rooms ,"Signaustrasse 10, 8008 Zürich"
" CHF 7,380.– / month",,5.5 rooms ,"Birmensdorferstrasse 280, 8055 Zürich"
" CHF 5,310.– / month",,5.5 rooms ,"Birmensdorferstrasse 270, 8055 Zürich"
" CHF 13,580.– / month",140m² living space ,5.5 rooms ,"Etzelstrasse 35, 8038 Zürich"
" CHF 4,080.– / month",94m² living space ,3 rooms ,"Scheffelstrasse 3, 8037 Zürich"
" CHF 3,210.– / month",177m² living space ,6 rooms ,"Stettbachstrasse 35, 8051 Zürich"
" CHF 4,450.– / month",153m² living space ,5 rooms ,8046 Zürich
" CHF 4,750.– / month",172m² living space ,6 rooms ,8046 Zürich
" CHF 11,130.– / month",300m² living space ,10 rooms ,8006 Zürich
" CHF 5,560.– / month",172m² living space ,7.5 rooms ,"In der Wässeri 25, 8047 Zürich"
" CHF 3,580.– / month",109m² living space ,3 rooms ,"Steinstrasse 73, 8003 Zürich"
" CHF 3,860.– / month",143m² living space ,5.5 rooms ,"Diggelmannstrasse 27, 8047 Zürich"
" CHF 2,220.– / month",,2 rooms ,"Hofackerstrasse 40, 8032 Zürich"
" CHF 5,060.– / month",,54m² living space ,"Zweierstrasse 24, 8004 Zurich"
" CHF 3,210.– / month",,26m² living space ,"Zweierstrasse 24, 8004 Zurich"
" CHF 4,440.– / month",,42m² living space ,"Zweierstrasse 24, 8004 Zurich"
" CHF 4,750.– / month",,42m² living space ,"Zweierstrasse 24, 8004 Zurich"
" CHF 4,300.– / month",156m² living space ,6 rooms ,"Bertastrasse 69, 8003 Zürich"
" CHF 4,090.– / month",143m² living space ,4.5 rooms ,"Triemlistrasse 89, 8047 Zürich"
" CHF 3,360.– / month",,20m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 4,900.– / month",77m² living space ,4.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 5,040.– / month",105m² living space ,4.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 4,900.– / month",86m² living space ,4.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 4,900.– / month",67m² living space ,3 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 5,370.– / month",,101m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 3,670.– / month",,39m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 3,210.– / month",,23m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 6,130.– / month",71m² living space ,3 rooms ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 3,980.– / month",,39m² living space ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 6,440.– / month",,73m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 4,290.– / month",,50m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 4,600.– / month",,69m² living space ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 5,060.– / month",115m² living space ,5 rooms ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 6,440.– / month",,69m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 3,210.– / month",,42m² living space ,"Binzmühlestr. 46, 8050 Zurich"
" CHF 3,980.– / month",,54m² living space ,"Freyastrasse 8, 8004 Zurich"
" CHF 4,440.– / month",,63m² living space ,"Freyastrasse 8, 8004 Zurich"
" CHF 4,440.– / month",,46m² living space ,"Rotachstrasse 33, 8003 Zurich"
" CHF 3,820.– / month",,44m² living space ,"Binzmühlestr. 46, 8050 Zurich"
" CHF 5,120.– / month",143m² living space ,5.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 5,860.– / month",172m² living space ,6 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 1,570.– / month",16m² living space ,2 rooms ,"Badenerstrasse, 8003 Zürich"
" CHF 9,390.– / month",164m² living space ,3 rooms ,"Bellariastrasse 36, 8002 Zurich"
" CHF 4,290.– / month",,63m² living space ,"Freyastrasse 8, 8004 Zurich"
" CHF 5,680.– / month",,58m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 6,280.– / month",,69m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 4,600.– / month",,59m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 6,590.– / month",,78m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 3,820.– / month",,54m² living space ,"Freyastrasse 8, 8004 Zurich"
" CHF 4,130.– / month",,46m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 3,210.– / month",,22m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 6,280.– / month",,82m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 2,900.– / month",,42m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 3,050.– / month",,20m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 4,440.– / month",,48m² living space ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 4,750.– / month",,54m² living space ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 6,280.– / month",88m² living space ,3 rooms ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 3,050.– / month",,26m² living space ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 3,820.– / month",,42m² living space ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 4,600.– / month",,46m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 6,280.– / month",69m² living space ,2 rooms ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 7,520.– / month",88m² living space ,3 rooms ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 4,600.– / month",,73m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 5,060.– / month",,58m² living space ,"Gerechtigkeitsgasse 8, 8001 Zurich"
" CHF 3,520.– / month",,39m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 3,050.– / month",,18m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 5,830.– / month",,97m² living space ,"Binzmühlestr. 46, 8050 Zurich"
" CHF 2,900.– / month",,25m² living space ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 4,750.– / month",,69m² living space ,"Binzmühlestr. 48, 8050 Zurich"
" CHF 6,280.– / month",,150m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 2,900.– / month",,22m² living space ,"Binzmühlestr. 46, 8050 Zurich"
" CHF 3,670.– / month",,42m² living space ,"Binzmühlestr. 46, 8050 Zurich"
" CHF 7,840.– / month",158m² living space ,5.5 rooms ,"Seefeldstrasse, 8008 Zürich"
" CHF 6,950.– / month",140m² living space ,7.5 rooms ,"Beckhammer 19, 8057 Zürich"
" CHF 2,530.– / month",58m² living space ,2 rooms ,"Minervastrasse 9, 8032 Zürich"
" CHF 4,360.– / month",153m² living space ,4.5 rooms ,"Forchstrasse 279, 8008 Zürich"
" CHF 1,420.– / month",20m² living space ,2 rooms ,"Auhofstrasse, 8051 Zürich"
" CHF 1,580.– / month",20m² living space ,2 rooms ,"Luegislandstrasse, 8051 Zürich"
" CHF 2,150.– / month",23m² living space ,2 rooms ,"Turnerstrasse 37, 8006 Zürich"
" CHF 2,190.– / month",73m² living space ,3.5 rooms ,"Brandschenkestrasse 160, 8002 Zürich"
" CHF 5,120.– / month",172m² living space ,6 rooms ,"Nelkenstrasse 7, 8006 Zürich"
" CHF 4,520.– / month",115m² living space ,4.5 rooms ,"Dufourstrasse 189, 8008 Zürich"
" CHF 2,740.– / month",,3 rooms ,"Dammstrasse 58, 8037 Zürich"
" CHF 3,040.– / month",115m² living space ,3 rooms ,"Probusweg 6, 8057 Zürich"
" CHF 3,540.– / month",134m² living space ,5 rooms ,"Eulenweg 5, 8048 Zürich"
" CHF 5,340.– / month",134m² living space ,5.5 rooms ,"Haldenbachstrasse 21, 8006 Zürich"
" CHF 4,610.– / month",126m² living space ,4.5 rooms ,"Sonnhaldenstrasse 12, 8032 Zürich"
" CHF 3,990.– / month",,140m² living space ,"Badenerstr. 717, 8048 Zürich"
" CHF 2,420.– / month",22m² living space ,2 rooms ,"Turnerstrasse 37, 8006 Zürich"
" CHF 2,820.– / month",77m² living space ,2 rooms ,"Salvatorstrasse 9, 8050 Zürich"
" CHF 2,460.– / month",56m² living space ,2 rooms ,"Bäckerstrasse 20, 8004 Zürich"
" CHF 6,790.– / month",160m² living space ,5.5 rooms ,"Mythenquai 349a, 8038 Zürich"
" CHF 3,410.– / month",134m² living space ,5 rooms ,"Kalkbreitestrasse 99, 8003 Zürich"
" CHF 3,190.– / month",126m² living space ,5 rooms ,"Waffenplatzstr. 21, 8002 Zürich"
" CHF 3,190.– / month",,3.5 rooms ,"Froschaugasse 12, 8001 Zürich"
" CHF 3,040.– / month",115m² living space ,3 rooms ,"Probusweg 6, 8057 Zürich"
" CHF 7,170.– / month",180m² living space ,7.5 rooms ,8048 Zurich
" CHF 1,880.– / month",22m² living space ,2 rooms ,"Häringstrasse 13, 8001 Zürich"
" CHF 5,120.– / month",140m² living space ,5.5 rooms ,"Badenerstrasse 853, 8048 Zürich"
" CHF 3,130.– / month",,5 rooms ,"Rümlangstrasse 65, 8052 Zürich"
" CHF 8,760.– / month",150m² living space ,5.5 rooms ,"Bergstrasse 109, 8032 Zürich"
" CHF 4,560.– / month",56m² living space ,2 rooms ,"Morgartenstrasse 15, 8004 Zürich"
" CHF 4,150.– / month",,5 rooms ,"Starengasse 7, 8052 Zürich"
" CHF 4,020.– / month",147m² living space ,5.5 rooms ,"Schächenstrasse 8, 8048 Zürich"
" CHF 2,970.– / month",,5 rooms ,"Badenerstrasse 332, 8004 Zürich"
" CHF 3,670.– / month",,42m² living space ,"Albertstrasse 7, 8005 Zürich"
" CHF 5,040.– / month",134m² living space ,5.5 rooms ,"Badenerstrasse 362, 8004 Zürich"
" CHF 4,230.– / month",50m² living space ,2 rooms ,"Franklinstrasse 12, 8050 Zürich"
" CHF 2,450.– / month",22m² living space ,2 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 4,560.– / month",115m² living space ,4.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 3,080.– / month",39m² living space ,2 rooms ,"Schaffhauserstrasse 137, 8057 Zürich"
" CHF 3,930.– / month",115m² living space ,3 rooms ,"Hanfrose 8, 8055 Zürich"
" CHF 4,600.– / month",115m² living space ,3 rooms ,"Zelgstrasse 19, 8003 Zürich"
" CHF 4,300.– / month",115m² living space ,4.5 rooms ,"Asylstrasse 125, 8032 Zürich"
" CHF 5,040.– / month",134m² living space ,5 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 4,080.– / month",77m² living space ,4.5 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 4,080.– / month",77m² living space ,4.5 rooms ,"Asylstrasse 125, 8032 Zürich"
" CHF 5,790.– / month",147m² living space ,5 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 5,170.– / month",86m² living space ,5 rooms ,"Zelgstrasse 19, 8003 Zürich"
" CHF 4,380.– / month",58m² living space ,3 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
